Unit,Tên phường,Latitude,Longitude,Dân số (người)
Quận 1,Phường Bến Thành,10.770185,106.691297,11747
Quận 1,Phường Cầu Ông Lãnh,10.765572,106.697141,10527
Quận 1,Phường Cô Giang,10.7619037,106.6916579,11574
Quận 1,Phường Bến Nghé,10.7826262,106.7046446,11454
Quận 1,Phường Cầu Kho,10.7596127,106.6918942,13686
Quận 1,Phường Nguyễn Cư Trinh,10.7623228,106.6882955,20878
Quận 1,Phường Nguyễn Thái Bình,10.768898,106.700406,9908
Quận 1,Phường Đa Kao,10.7889685,106.6998689,14673
Quận 1,Phường Tân Định,10.7913805,106.689009,22238
Quận 1,Phường Phạm Ngũ Lão,10.7679909,106.6938651,15017
TP Thủ Đức,Phường An Khánh,10.788424,106.733907,16247
TP Thủ Đức,Phường Thảo Điền,10.803223,106.738415,20507
TP Thủ Đức,Phường Thủ Thiêm,10.801037,106.738357,2176
TP Thủ Đức,Phường An Lợi Đông,10.7640826,106.7262051,1215
TP Thủ Đức,Phường An Phú,10.789291,106.737483,28559
TP Thủ Đức,Phường Bình An,10.783321,106.7252479,10570
TP Thủ Đức,Phường Bình Khánh,10.785224,106.730673,7279
TP Thủ Đức,Phường Bình Trưng Đông,10.789538,106.7718746,31825
TP Thủ Đức,Phường Bình Trưng Tây,10.7836881,106.7654137,31021
TP Thủ Đức,Phường Thạnh Mỹ Lợi,10.7707105,106.770208,23305
TP Thủ Đức,Phường Cát Lái,10.7743255,106.7699143,18156
Quận 3,Phường 1,10.7688812,106.676754,13701
Quận 3,Phường 2,10.7661375,106.6802336,11295
Quận 3,Phường 3,10.7700528,106.6776969,10412
Quận 3,Phường 4,10.7753666,106.6824012,18355
Quận 3,Phường 5,10.7732783,106.6868182,14214
Quận 3,Phường 9,10.7816415,106.6821765,26900
Quận 3,Phường 10,10.7807658,106.6766375,9132
Quận 3,Phường 11,10.7844988,106.6694471,22641
Quận 3,Phường 12,10.7888499,106.675784,12159
Quận 3,Phường 13,10.7872002,106.6783548,6906
Quận 3,Phường 14,10.7867566,106.680298,16301
Quận 3,Phường Võ Thị Sáu,10.7803307,106.693036,35912
Quận 4,Phường 1,10.7556008,106.690226,10596
Quận 4,Phường 2,10.759756,106.6980503,16134
Quận 4,Phường 3,10.7551305,106.701704,10644
Quận 4,Phường 4,10.7531938,106.7037309,15489
Quận 4,Phường 6,10.7602627,106.700076,10230
Quận 4,Phường 8,10.7614949,106.7003765,15202
Quận 4,Phường 9,10.7613869,106.703071,10336
Quận 4,Phường 10,10.7606412,106.7053791,10068
Quận 4,Phường 13,10.7643239,106.7073484,18879
Quận 4,Phường 14,10.7600648,106.7072587,15096
Quận 4,Phường 15,10.7533669,106.7082264,12519
Quận 4,Phường 16,10.7565374,106.70979,19774
Quận 4,Phường 18,10.7593369,106.7131167,9911
Quận 5,Phường 1,10.754603,106.6820223,16134
Quận 5,Phường 2,10.7557828,106.6811433,14298
Quận 5,Phường 3,10.7592457,106.6805755,5519
Quận 5,Phường 4,10.761875,106.6786033,9455
Quận 5,Phường 5,10.7512956,106.6732201,10788
Quận 5,Phường 6,10.7519665,106.6712751,7274
Quận 5,Phường 7,10.7543024,106.669006,9789
Quận 5,Phường 8,10.7563721,106.6759832,6746
Quận 5,Phường 9,10.7588992,106.6692327,11193
Quận 5,Phường 10,10.7509682,106.6599735,5118
Quận 5,Phường 11,10.7546905,106.6624626,11660
Quận 5,Phường 12,10.7559632,106.6564454,14637
Quận 5,Phường 13,10.7496345,106.658834,8239
Quận 5,Phường 14,10.7532924,106.6526735,11155
Quận 6,Phường 1,10.7463739,106.6534338,10002
Quận 6,Phường 2,10.7499498,106.6498025,8024
Quận 6,Phường 3,10.7408009,106.6445382,9282
Quận 6,Phường 4,10.7454778,106.6478759,12592
Quận 6,Phường 5,10.7481625,106.6424219,13126
Quận 6,Phường 6,10.7506338,106.6434657,13545
Quận 6,Phường 7,10.7462005,106.6289453,11450
Quận 6,Phường 8,10.7444417,106.6391352,22264
Quận 6,Phường 9,10.7518926,106.6399912,12032
Quận 6,Phường 10,10.7385882,106.630822,25165
Quận 6,Phường 11,10.7453415,106.631948,28232
Quận 6,Phường 12,10.7503949,106.6352224,25275
Quận 6,Phường 13,10.7540476,106.6314679,25405
Quận 6,Phường 14,10.7583357,106.62598,20579
Quận 7,Phường Bình Thuận,10.7490163,106.7289349,33055
Quận 7,Phường Phú Mỹ,10.7134292,106.7431001,33729
Quận 7,Phường Phú Thuận,10.7222339,106.7364333,40729
Quận 7,Phường Tân Hưng,10.744,106.7006944,45294
Quận 7,Phường Tân Kiểng,10.7516006,106.7060288,32207
Quận 7,Phường Tân Phong,10.7383742,106.706925,36572
