Đơn vị hành chính,Chi phí sạc,Chi phí vận hành,Chi phí đi lại ,Chi phí chờ ,Chi phí lắp đặt ,Chi phí thuê đất ,Chi phí bảo dưỡng 
Huyện Cần Giờ,19.24,15.64,62.1,1.24,1.63,0.04,0.12
Huyện Củ Chi,19.69,16.01,60.95,1.48,1.69,0.04,0.13
Huyện Bình Chánh,24.45,19.88,52.03,1.33,2.03,0.14,0.14
TP Thủ Đức,25.62,20.82,50.25,0.97,2.07,0.14,0.12
Quận 8,31.13,25.3,37.53,2.68,2.72,0.41,0.23
Huyện Nhà Bè,31.97,25.99,36.89,2.05,2.7,0.2,0.2
Quận Bình Tân,34.21,27.81,33.39,1.46,2.79,0.17,0.17
Huyện Hóc Môn,33.9,27.56,32.97,2.34,2.89,0.13,0.22
Quận 12,35.47,28.83,28.79,3.23,3.12,0.28,0.27
Quận Gò Vấp,36.58,29.74,28.51,1.71,3,0.26,0.19
Quận Tân Bình,37.37,30.38,24.79,3.15,3.26,0.78,0.27
Quận một,38.32,31.15,23.3,2.46,3.24,1.3,0.24
Quận Tân Phú,38.86,31.59,22.33,3.04,3.36,0.55,0.27
Quận 7,38.47,31.27,20.08,5.15,3.61,1.05,0.37
Quận 6,38.71,31.46,18.54,6,3.74,1.13,0.41
Quận 5,40.29,32.75,15.61,5.24,3.76,1.98,0.38
Quận 10,44.2,35.93,13.76,1.78,3.59,0.51,0.22
Quận Bình Thạnh,43.11,35.04,12.2,4.33,3.85,1.12,0.34
Quận 3,39.78,32.34,10.93,8.24,4.13,4.06,0.53
Quận Phú Nhuận,42.14,34.26,10.58,6.37,4.05,2.15,0.44
Quận 4,43.5,35.36,10.57,4.53,3.91,1.78,0.35
Quận 11,43.21,35.12,9.64,5.85,4.06,1.69,0.42
