name:en,popu22
District 1,141722
District 3,189931
District 4,176501
District 5,146461
District 6,238436
District 7,356180
District 8,455683
District 10,229046
District 11,211672
District 12,731898
Go Vap District,683654
Tan Binh District,502185
Tan Phu District,473280
Binh Thanh District,486494
Phu Nhuan District,166100
Binh Tan District,787906
Củ Chi District,527820
Hoc Mon District,584998
Bình Chánh District,815041
Nhà Bè District,238357
Can Gio District,78104
Thủ Đức,1235192
